vendor_id,vendor_name,country,rating
1,Robinson-Jones,Saint Martin,2.3
2,Miller Group,Turks and Caicos Islands,4.1
3,Lee-Weaver,Zambia,1.2
4,"Graham, Ramirez and Johnson",Montserrat,1.0
5,Leblanc-Spencer,Kenya,1.2
6,Wood-Santiago,Faroe Islands,3.0
7,Farley Group,Northern Mariana Islands,2.2
8,Kaiser-Grant,Gambia,4.1
9,"Ortiz, Werner and Johnson",Togo,1.1
10,"Turner, James and Ibarra",Gibraltar,1.7
11,"Smith, Short and Johnson",Cape Verde,2.7
12,Kline-Green,Kyrgyz Republic,4.5
13,"Riggs, Murphy and Holmes",Burkina Faso,1.2
14,Herrera Ltd,Kenya,3.2
15,"Velasquez, Brooks and Lopez",American Samoa,1.1
16,"Lee, Mcdonald and Taylor",Mali,3.0
17,Brown-Patterson,Estonia,3.2
18,"Colon, Hall and Jones",Cocos (Keeling) Islands,2.1
19,Morris-Rivas,Eritrea,2.6
20,"Ross, Ramirez and Paul",Barbados,2.8
21,Schwartz-Hill,Uzbekistan,2.6
22,Watkins Ltd,Saudi Arabia,1.6
23,Arnold-Baker,Dominica,5.0
24,Nicholson-Parker,French Guiana,2.0
25,Roberts Group,Djibouti,3.2
26,"Fisher, Herrera and Obrien",Mauritania,4.2
27,Martinez PLC,Burundi,2.3
28,West Inc,Estonia,4.1
29,Flowers-Baker,Guyana,1.3
30,Martin-Richardson,Antarctica (the territory South of 60 deg S),4.2
